n = 2^1, error = 9.9562426373278612e-04
n = 2^2, error = 8.8140761578259230e-07
n = 2^3, error = 1.1906031716080179e-12
n = 2^4, error = 8.8817841970012523e-16
n = 2^5, error = 8.8817841970012523e-16
n = 2^6, error = 8.8817841970012523e-16
n = 2^7, error = 8.8817841970012523e-16
n = 2^8, error = 8.8817841970012523e-16
n = 2^9, error = 8.8817841970012523e-16
n = 2^10, error = 8.8817841970012523e-16
n = 2^11, error = 8.8817841970012523e-16
n = 2^12, error = 8.8817841970012523e-16
n = 2^13, error = 8.8817841970012523e-16
n = 2^14, error = 8.8817841970012523e-16
n = 2^15, error = 8.8817841970012523e-16
n = 2^16, error = 8.8817841970012523e-16
n = 2^17, error = 8.8817841970012523e-16
n = 2^18, error = 8.8817841970012523e-16
n = 2^19, error = 8.8817841970012523e-16
n = 2^20, error = 8.8817841970012523e-16
n = 2^21, error = 8.8817841970012523e-16
n = 2^22, error = 8.8817841970012523e-16
n = 2^23, error = 8.8817841970012523e-16
n = 2^24, error = 8.8817841970012523e-16
