n = 2^1, error = 4.0297986606396252e-01
n = 2^2, error = 2.1897966746476261e-01
n = 2^3, error = 1.1429479693195033e-01
n = 2^4, error = 5.8399633250339367e-02
n = 2^5, error = 2.9518814978706231e-02
n = 2^6, error = 1.4839863800788500e-02
n = 2^7, error = 7.4401318182748533e-03
n = 2^8, error = 3.7251264541939832e-03
n = 2^9, error = 1.8638296735331572e-03
n = 2^10, error = 9.3223161148081601e-04
n = 2^11, error = 4.6619501976286060e-04
n = 2^12, error = 2.3311731592068341e-04
n = 2^13, error = 1.1656360979284131e-04
n = 2^14, error = 5.8283042891904557e-05
n = 2^15, error = 2.9141830953260950e-05
n = 2^16, error = 1.4570992831419716e-05
n = 2^17, error = 7.2855157453588504e-06
n = 2^18, error = 3.6427626963764226e-06
n = 2^19, error = 1.8213825376811599e-06
n = 2^20, error = 9.1069154795064833e-07
n = 2^21, error = 4.5534583748008117e-07
n = 2^22, error = 2.2767298712977890e-07
n = 2^23, error = 1.1383702203104917e-07
n = 2^24, error = 5.6922833113759452e-08
